Merk Mobil;Nama Mobil;Tahun Produksi;Harga Mobil (USD);Berat Mobil (Kg);KapasitasMesin (Cc);Output Horsepower (Hp);Output Torsi (Nm);Negara Kendaraan;Jenis Kendaraan
Toyota;Camry;2019;25000;1500;2500;200;250;Asia;Bensin
Honda;CR-V;2018;28000;1600;2200;180;220;Asia;Bensin
Ford;Fusion;2020;23000;1400;2000;170;200;Amerika;Bensin
Nissan;Altima;2017;20000;1450;2100;190;210;Asia;Bensin
Chevrolet;Impala;2016;22000;1600;2300;210;230;Amerika;Bensin
BMW;3 Series;2021;35000;1700;2800;300;320;Eropa;Bensin
Hyundai;Sonata;2015;18000;1350;1900;160;180;Asia;Bensin
Kia;Sorento;2019;27000;1800;2400;220;240;Asia;Bensin
Subaru;Outback;2022;32000;1550;2600;280;300;Asia;Bensin
Mercedes;C-Class;2017;30000;1650;2700;250;270;Eropa;Bensin
Lexus;ES;2018;32000;1550;2500;260;280;Asia;Bensin
Audi;A4;2020;35000;1600;2600;280;290;Eropa;Bensin
Mazda;Mazda6;2016;20000;1380;2200;190;200;Asia;Bensin
Volkswagen;Passat;2021;28000;1450;2300;220;240;Eropa;Bensin
Volvo;S60;2019;30000;1520;2400;250;260;Eropa;Bensin
Tesla;Model S;2022;80000;2000;3800;600;700;Amerika;Hybrid
Ford;Explorer;2018;35000;1800;2700;290;310;Amerika;Bensin
Chevrolet;Equinox;2017;25000;1500;2000;170;190;Amerika;Bensin
Toyota;Highlander;2020;32000;1750;3000;270;290;Asia;Bensin
Honda;Pilot;2019;30000;1700;2800;250;270;Amerika;Bensin
Acura;MDX;2018;34000;1850;2900;280;300;Amerika;Bensin
Jeep;Grand Cherokee;2017;32000;1700;2500;240;260;Amerika;Bensin
Mitsubishi;Outlander;2021;28000;1600;2200;200;220;Asia;Bensin
Land Rover;Range Rover;2019;90000;2300;4000;450;500;Eropa;Bensin
Chevrolet;Traverse;2016;26000;1750;2800;260;280;Amerika;Bensin
GMC;Yukon;2020;55000;2200;3500;400;450;Amerika;Bensin
Ford;Expedition;2018;48000;2000;3300;375;400;Amerika;Bensin
Dodge;Durango;2022;42000;1850;3000;350;370;Amerika;Bensin
Toyota;Rav4;2017;24000;1500;2200;180;210;Asia;Bensin
Nissan;Rogue;2019;26000;1600;2300;200;220;Asia;Bensin
Hyundai;Tucson;2020;23000;1450;2000;170;190;Asia;Bensin
Honda;HR-V;2018;22000;1400;1800;160;180;Asia;Bensin
Mazda;CX-5;2021;28000;1550;2500;220;240;Asia;Bensin
Ford;Escape;2016;20000;1350;1900;190;200;Amerika;Bensin
Chevrolet;Blazer;2017;25000;1600;2200;210;230;Amerika;Bensin
Volkswagen;Tiguan;2019;27000;1650;2400;220;240;Eropa;Bensin
Volvo;XC60;2020;32000;1750;2600;250;260;Eropa;Bensin
Audi;Q5;2018;30000;1600;2500;260;280;Eropa;Bensin
Tesla;Model Y;2022;60000;1900;3400;500;550;Amerika;Hybrid
Subaru;Forester;2016;22000;1450;2000;170;190;Asia;Bensin
Mercedes;GLC;2021;38000;1700;2800;300;320;Eropa;Bensin
Lexus;NX;2019;35000;1600;2600;250;270;Asia;Bensin
Kia;Sportage;2017;23000;1500;2200;180;200;Asia;Bensin
BMW;X3;2018;33000;1750;2700;250;270;Eropa;Bensin
Land Rover;Discovery;2020;45000;2000;3500;350;380;Eropa;Bensin
Jaguar;F-PACE;2016;40000;1850;3000;340;360;Eropa;Bensin
GMC;Acadia;2019;32000;1700;2500;230;250;Amerika;Bensin
Ford;Ranger;2018;28000;1600;2200;200;220;Amerika;Bensin
Chevrolet;Colorado;2020;30000;1500;2500;220;240;Amerika;Bensin
Toyota;Tacoma;2017;26000;1450;2300;190;210;Amerika;Bensin
Nissan;Frontier;2022;28000;1600;2500;220;240;Amerika;Bensin
Honda;Ridgeline;2019;32000;1750;3000;280;300;Amerika;Bensin
Ram;1500;2018;35000;1850;3200;290;310;Amerika;Bensin
Ford;F-150;2020;40000;2000;3500;325;350;Amerika;Bensin
Chevrolet;Silverado;2017;38000;1900;3300;300;320;Amerika;Bensin
Toyota;C-HR;2021;25000;1450;1800;160;180;Asia;Bensin
Hyundai;Kona;2018;22000;1300;1600;140;160;Asia;Bensin
Kia;Niro;2020;26000;1500;1900;180;200;Asia;Bensin
Honda;Insight;2019;23000;1400;1800;150;170;Asia;Hybrid
